PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
short,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,MEDIUM
short,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,MEDIUM
short,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,2,EPC-W1,Install more efficient water heater.,HIGH
short,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,2,EPC-W1,Install more efficient water heater.,HIGH
short,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,3,EPC-W2,Consider replacing HWS with point of use system.,HIGH
short,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,3,EPC-W2,Consider replacing HWS with point of use system.,HIGH
long,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,5,EPC-R3,Consider installing solar water heating.,LOW
long,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,5,EPC-R3,Consider installing solar water heating.,LOW
long,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,6,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,6,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,7,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,7,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
long,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,8,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
long,61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,8,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
short,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,1,EPC-V1,"In some spaces, the solar gain limit defined in the NCM is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
short,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
short,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit. ,MEDIUM
medium,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
medium,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
long,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,4,EPC-F5,Consider switching from gas to biomass.,HIGH
long,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,4,EPC-F5,Consider switching from gas to biomass.,HIGH
long,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
long,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,6,EPC-R3,Consider installing solar water heating.,LOW
long,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,6,EPC-R3,Consider installing solar water heating.,LOW
long,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,7,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames. ,MEDIUM
long,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,7,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames. ,MEDIUM
long,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,8,EPC-R5,Consider installing an air source heat pump.,HIGH
long,ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,8,EPC-R5,Consider installing an air source heat pump.,HIGH
other,50768e1e567d9350245eda6cb7dfe126a22b56da4b1e7d8a9746d384fe247bb6,1,USER,Consider replacing fluorescent lamps with retrofit LED conversion kit and associated controls.,MEDIUM
