LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,LODGEMENT_DATETIME,PRIMARY_ENERGY_VALUE,UPRN,UPRN_SOURCE
61dc96266402281db6a8010df024704db34c63b9aca700f206d3f767244a2700,Bank Express Express,Tesco Stores Ltd,80A Cheapside,EC2V 6EE,10003370621,46,B,Retail/Financial and Professional Services,2022-09-12,E09000001,E14000639,,2022-09-29,Mandatory issue (Marketed sale),14,58,3,Grid Supplied Electricity,,,,1251,29.85,8.62,34.58,27.28,No,,,4,Air Conditioning,"Bank Express Express, Tesco Stores Ltd, 80A Cheapside",City of London,Cities of London and Westminster,London,2022-09-29 10:03:10,295,,
ffef96fa3e2da4c5fd752d4de2eff0d9d462bece1b07626c37a68323b15c0ae5,89-91 Gresham Street,,,EC2V 7NQ,10003365762,49,B,Offices and Workshop Businesses,2022-09-15,E09000001,E14000639,,2022-09-28,Mandatory issue (Marketed sale),16,64,3,Grid Supplied Electricity,,,,1661,23.87,7.63,30.58,23.57,Yes,,3.0,5,Air Conditioning,89-91 Gresham Street,City of London,Cities of London and Westminster,LONDON,2022-09-28 10:58:54,226,200000069288,Address Matched
50768e1e567d9350245eda6cb7dfe126a22b56da4b1e7d8a9746d384fe247bb6,1 Oliver's Yard,,,EC1Y 1HQ,10003362306,71,C,Offices and Workshop Businesses,2022-09-02,E09000019,E14000764,,2022-09-27,Voluntary re-issue (A valid EPC is already lodged).,30,121,5,Natural Gas,,,,21174,11.46,6.96,27.85,16.21,Yes,,2.0,4,Air Conditioning,1 Oliver's Yard,Islington,Islington South and Finsbury,LONDON,2022-09-27 14:52:56,151,5300069833,Energy Assessor
43812480ec0d2e176e9fe52740382d1d4c6d783935e8faeb3642da7917fed176,"2nd Floor, 26 Throgmorton Street",,,EC2N 2AN,10003366972,39,B,Offices and Workshop Businesses,2022-09-12,E09000001,E14000639,,2022-09-26,Mandatory issue (Property to let).,11,43,4,Grid Supplied Electricity,,,,307,11.67,2.49,9.95,9.18,Yes,,2.0,5,Air Conditioning,"2nd Floor, 26 Throgmorton Street",City of London,Cities of London and Westminster,London,2022-09-26 09:37:17,100,,
01392d1e7eb8ec4c1e0155bbc7ba698bdfdb812ca4a72dd5b4eae0a03974190f,"4th Floor, 26 Throgmorton Street",,,EC2N 2AN,10003366545,31,B,Offices and Workshop Businesses,2022-09-12,E09000001,E14000639,,2022-09-26,Mandatory issue (Property to let).,13,52,4,Grid Supplied Electricity,,,,305,13.69,3.55,14.21,8.57,Yes,,2.0,5,Air Conditioning,"4th Floor, 26 Throgmorton Street",City of London,Cities of London and Westminster,London,2022-09-26 10:02:36,92,,
75a95873b45074502ed01be733fb720c6efa3b7f46c5f4d82f52aad3d341266d,"1st Floor, 26 Throgmorton Street ",,,EC2N 2AN,10003362835,111,E,Offices and Workshop Businesses,2022-09-12,E09000001,E14000639,,2022-09-26,Mandatory issue (Property to let).,4,14,4,Natural Gas,,,,382,11.84,0.85,3.4,26.24,Yes,,2.0,5,Air Conditioning,"1st Floor, 26 Throgmorton Street",City of London,Cities of London and Westminster,London,2022-09-26 09:28:21,219,,
e3251cc36e2c6ac05deed205f35a0c0ad0b071f704a5c903844510ef13e6e540,414 EXMOUTH HOUSE,311 Pine Street,Farringdon,EC1R 0JH,10003364399,26,B,Offices and Workshop Businesses,2022-09-14,E09000019,E14000764,,2022-09-26,Mandatory issue (Property to let).,10,42,3,Grid Supplied Electricity,,,,31,15.99,3.35,13.43,8.42,Yes,,3.0,1,Mixed-mode with Mechanical Ventilation,"414 EXMOUTH HOUSE, 311 Pine Street, Farringdon",Islington,Islington South and Finsbury,LONDON,2022-09-26 11:15:09,91,10091004130,Energy Assessor
f0f22bb62873972f07e9cfcc606590fd1e6eb08cf9c2db2c1bc8cd9796e37619,UNIT 2E,Zetland House,5-25 Scrutton Street,EC2A 4HJ,555400620023,49,B,Offices and Workshop Businesses,2022-09-13,E09000012,E14000721,,2022-09-26,Mandatory issue (Property to let).,14,57,4,Grid Supplied Electricity,,,,262,9.65,2.77,11.09,9.4,Yes,,2.0,5,Air Conditioning,"UNIT 2E, Zetland House, 5-25 Scrutton Street",Hackney,Hackney South and Shoreditch,LONDON,2022-09-26 02:43:18,103,,
571746b92d6109efe5986debb3ee0b467e9a8c0ad60b16591bf5cd2534981a07,"3rd Floor, 26 Throgmorton Street",,,EC2N 2AN,10003367462,35,B,Offices and Workshop Businesses,2022-09-12,E09000001,E14000639,,2022-09-26,Mandatory issue (Property to let).,11,44,4,Grid Supplied Electricity,,,,305,12.65,2.77,11.07,8.95,Yes,,2.0,5,Air Conditioning,"3rd Floor, 26 Throgmorton Street",City of London,Cities of London and Westminster,London,2022-09-26 09:51:17,97,,
fd4ace68f9daa6f06c882f6411bdf0dcefecc19260eb80d095a0a4ed3b0160ff,"5th Floor, 26 Throgmorton Street",,,EC2N 2AN,10003369209,32,B,Offices and Workshop Businesses,2022-09-12,E09000001,E14000639,,2022-09-26,Mandatory issue (Property to let).,8,32,4,Grid Supplied Electricity,,,,223,19.08,3.07,12.29,12.39,Yes,,2.0,5,Air Conditioning,"5th Floor, 26 Throgmorton Street",City of London,Cities of London and Westminster,London,2022-09-26 10:11:36,133,,
